,index,length
0,0,"{'ref_length': 31, 'scaffold_length': 12, 'affinity': -7.3}"
1,1,"{'ref_length': 31, 'scaffold_length': 1, 'affinity': -7.1}"
2,2,"{'ref_length': 27, 'scaffold_length': 1, 'affinity': -8.4}"
3,3,"{'ref_length': 22, 'scaffold_length': 15, 'affinity': -7.2}"
4,4,"{'ref_length': 19, 'scaffold_length': 12, 'affinity': -10}"
5,5,"{'ref_length': 33, 'scaffold_length': 29, 'affinity': -6.0}"
6,6,"{'ref_length': 28, 'scaffold_length': 18, 'affinity': -9.8}"
7,7,"{'ref_length': 37, 'scaffold_length': 13, 'affinity': -8.1}"
8,8,"{'ref_length': 10, 'scaffold_length': 10, 'affinity': -5.1}"
9,9,"{'ref_length': 27, 'scaffold_length': 8, 'affinity': -6.7}"
10,10,"{'ref_length': 35, 'scaffold_length': 28, 'affinity': -9.7}"
11,11,"{'ref_length': 31, 'scaffold_length': 13, 'affinity': -8.6}"
12,12,"{'ref_length': 21, 'scaffold_length': 17, 'affinity': -5.3}"
13,13,"{'ref_length': 15, 'scaffold_length': 11, 'affinity': -6.2}"
14,14,"{'ref_length': 11, 'scaffold_length': 7, 'affinity': -3.0}"
15,15,"{'ref_length': 11, 'scaffold_length': 7, 'affinity': -4.3}"
16,16,"{'ref_length': 27, 'scaffold_length': 11, 'affinity': -7.0}"
17,17,"{'ref_length': 23, 'scaffold_length': 13, 'affinity': -8.1}"
18,18,"{'ref_length': 25, 'scaffold_length': 8, 'affinity': -6.3}"
19,19,"{'ref_length': 29, 'scaffold_length': 12, 'affinity': -7.5}"
20,20,"{'ref_length': 21, 'scaffold_length': 6, 'affinity': -6.7}"
21,21,"{'ref_length': 23, 'scaffold_length': 8, 'affinity': -8.8}"
22,22,"{'ref_length': 37, 'scaffold_length': 10, 'affinity': -9.9}"
23,23,"{'ref_length': 16, 'scaffold_length': 13, 'affinity': -5.6}"
24,24,"{'ref_length': 29, 'scaffold_length': 19, 'affinity': -8.1}"
25,25,"{'ref_length': 20, 'scaffold_length': 7, 'affinity': -7.6}"
26,26,"{'ref_length': 31, 'scaffold_length': 11, 'affinity': -8.7}"
27,27,"{'ref_length': 13, 'scaffold_length': 10, 'affinity': -4.0}"
28,28,"{'ref_length': 16, 'scaffold_length': 13, 'affinity': -6.0}"
